,ear_traits,face_tail_traits,lower_body_traits,upper_body_traits
0,Green,Black,Brown3,Original
1,Yellow,DkGray,Brown1,Brown1
2,Green,Black,DkGray,Brown2
3,BlackGray,Original,Brown1,Black
4,BlackGray,DkGray,Original,Original
5,Yellow,DkGray,White,Brown1
6,Blue,DkGray,DkGray,Black
7,BlackGray,Black,Brown2,Brown1
8,Original,DkGray,Brown1,Brown1
9,Original,Black,DkGray,Black Emoji1
10,Green,DkGray,Brown3,Black
11,Original,Red,Brown1,Black Emoji4
12,Blue,Original,Original,Black Emoji4
13,Green,Black,Brown1,Brown2
14,BlackGray,White,DkGray,Black
15,Yellow,Original,DkGray,Black Emoji1
16,Original,Original,Original,Black Emoji1
17,BlackGray,Original,Brown2,Black Emoji2
18,Blue,Red,Original,Brown3
19,Original,Black,Brown2,Brown3
20,Yellow,Original,Original,Brown3
21,Original,White,Brown2,Brown2
22,Original,Black,Brown2,Black Emoji4
23,BlackGray,Red,White,Black Emoji3
24,Original,Black,Brown2,Brown2
25,Blue,Red,Brown2,Original
26,Original,Red,Original,Original
27,BlackGray,Original,Brown1,Brown1
28,Green,Black,DkGray,Brown1
29,Yellow,DkGray,Brown1,Black Emoji2
30,Yellow,White,White,Brown2
31,Yellow,DkGray,Original,Brown1
32,BlackGray,White,Brown1,Black
33,Green,DkGray,DkGray,Brown2
34,Green,Original,Brown3,Brown2
35,Original,Red,Brown2,Original
36,Green,Original,Brown1,Black
37,BlackGray,White,Original,Original
38,Blue,White,Brown3,Black
39,Green,White,Brown1,Black
40,BlackGray,DkGray,DkGray,Brown3
41,Green,Original,Brown3,Original
42,Green,Red,DkGray,Original
43,Original,DkGray,Brown1,Brown3
44,Yellow,Red,Original,Brown3
45,BlackGray,Black,Brown1,Original
46,BlackGray,Original,Brown3,Original
47,Yellow,Red,Brown2,Brown1
48,Yellow,Original,DkGray,Black Emoji2
49,Blue,Red,Brown3,Brown2
50,BlackGray,DkGray,Brown1,Original
51,BlackGray,Black,Brown1,Black
52,Green,DkGray,Original,Brown2
53,Yellow,White,DkGray,Brown1
54,Original,Red,Brown1,Brown1
55,Yellow,Red,Brown1,Black Emoji3
56,Original,Red,DkGray,Brown3
57,Yellow,Black,Brown3,Brown2
58,Yellow,Original,Brown2,Black
59,Original,White,Brown2,Black
60,Original,Red,DkGray,Brown2
61,Green,DkGray,DkGray,Black
62,Green,DkGray,Brown2,Brown3
63,Green,White,Brown3,Black Emoji3
64,Green,Original,Brown1,Original
65,Yellow,Original,DkGray,Black
66,Blue,Red,Brown2,Brown1
67,BlackGray,Original,Brown2,Black Emoji3
68,BlackGray,Red,DkGray,Black
69,Original,Red,Brown3,Brown1
70,Green,DkGray,Brown2,Brown1
71,Blue,White,DkGray,Brown2
72,Blue,White,Brown2,Black
73,BlackGray,Original,DkGray,Brown1
74,BlackGray,Original,Brown3,Brown1
75,BlackGray,Original,Original,Brown3
76,Original,Red,Original,Black
77,BlackGray,DkGray,Brown1,Black
78,Yellow,DkGray,Original,Black Emoji3
79,Original,Original,Original,Black
80,Green,Black,Brown2,Brown1
81,Original,Original,Brown1,Black Emoji2
82,Original,Red,Brown3,Original
83,Yellow,Original,Brown1,Brown1
84,Original,Original,White,Brown3
85,Yellow,Original,Brown2,Brown3
86,Yellow,DkGray,Brown1,Brown3
87,Original,Original,Brown1,Brown2
88,Original,Black,Brown2,Brown1
89,Blue,DkGray,Brown3,Brown3
90,Yellow,Original,DkGray,Brown1
91,Blue,DkGray,Brown3,Brown2
92,BlackGray,Original,Brown1,Black Emoji3
93,Blue,Black,Brown1,Brown3
94,Green,White,Brown2,Brown2
95,Yellow,DkGray,Brown2,Brown3
96,Yellow,Red,Brown1,Original
97,BlackGray,White,Brown2,Black Emoji1
98,Yellow,Red,Brown3,Black
99,Original,DkGray,Brown2,Original
100,Yellow,White,Brown2,Original
101,BlackGray,Red,White,Original
102,Yellow,White,Original,Black
103,Blue,Red,Brown2,Brown2
104,Yellow,Black,DkGray,Brown2
105,Original,DkGray,Original,Brown2
106,Blue,DkGray,DkGray,Brown2
107,Blue,Original,Brown3,Brown3
108,Blue,Red,Brown3,Original
109,Blue,Black,Original,Brown2
110,Blue,Original,Brown2,Brown2
111,Original,DkGray,DkGray,Black
112,Yellow,Black,Brown2,Original
113,BlackGray,Black,Brown3,Black
114,Green,White,White,Original
115,Yellow,Red,Brown1,Brown3
116,Green,Original,Original,Brown2
117,BlackGray,White,DkGray,Brown1
118,BlackGray,DkGray,White,Brown2
119,Green,Original,DkGray,Black
120,Original,Original,Brown2,Brown3
121,Green,Black,DkGray,Original
122,Blue,Original,Original,Brown1
123,BlackGray,Black,Brown3,Original
124,Green,DkGray,DkGray,Original
125,BlackGray,Black,White,Black Emoji4
126,BlackGray,Red,Original,Brown1
127,Green,Red,Brown1,Brown3
128,Green,Original,DkGray,Brown2
129,Green,DkGray,Brown1,Brown1
130,Original,Original,Brown2,Black Emoji3
131,Yellow,DkGray,Brown3,Black Emoji2
132,BlackGray,Original,DkGray,Brown2
133,BlackGray,Black,Brown2,Black
134,BlackGray,Red,DkGray,Brown3
135,BlackGray,DkGray,Original,Brown1
136,Green,Red,Brown3,Brown1
137,Yellow,DkGray,Brown3,Brown1
138,Blue,Black,Brown1,Original
139,Blue,Black,Brown3,Brown3
140,Yellow,Red,Brown3,Brown2
141,Blue,Black,DkGray,Original
142,Blue,Black,Brown3,Original
143,BlackGray,Black,Brown1,Brown3
144,Original,DkGray,Brown3,Original
145,Original,Original,Brown2,Brown1
146,Blue,Black,Brown1,Brown2
147,Original,Black,White,Brown1
148,Green,Red,Original,Black Emoji1
149,BlackGray,White,Brown2,Black
150,Green,Original,White,Brown2
151,BlackGray,White,Brown1,Brown1
152,Blue,Black,Original,Brown3
153,Yellow,Original,White,Black
154,Blue,Original,Brown1,Brown3
155,Original,DkGray,Original,Original
156,Green,DkGray,Brown3,Brown3
157,Original,Original,DkGray,Brown1
158,Original,DkGray,White,Original
159,Green,Original,White,Black
160,Original,Black,Brown1,Brown3
161,Yellow,White,DkGray,Black Emoji2
162,Green,Black,Brown1,Black Emoji3
163,Original,Original,Original,Brown3
164,Blue,Black,Brown2,Black Emoji2
165,Blue,DkGray,Brown3,Black
166,Blue,DkGray,Brown2,Brown1
167,Yellow,Original,Brown2,Brown2
168,Green,White,Brown3,Brown1
169,Yellow,DkGray,Brown2,Brown2
170,Blue,White,Brown3,Brown3
171,Yellow,DkGray,Original,Brown3
172,Yellow,Original,DkGray,Brown2
173,Green,Original,Brown1,Black Emoji1
174,Green,White,Brown1,Original
175,Yellow,DkGray,Brown3,Original
176,Blue,Black,White,Original
177,Blue,Original,DkGray,Original
178,Blue,White,White,Original
179,Blue,White,Brown3,Black Emoji4
180,Original,White,Original,Original
181,Original,Original,White,Black Emoji1
182,Yellow,Original,Brown2,Brown1
183,Blue,Original,Original,Original
184,BlackGray,Black,Original,Brown1
185,BlackGray,Original,Brown3,Black Emoji4
186,Blue,Black,DkGray,Brown1
187,Original,DkGray,Brown1,Brown2
188,Yellow,Red,DkGray,Black
189,Original,Red,Brown2,Black Emoji1
190,Blue,Red,DkGray,Black
191,Original,Black,Brown3,Black Emoji3
192,Blue,Black,Brown3,Black Emoji3
193,Yellow,White,White,Brown1
194,BlackGray,Black,DkGray,Brown2
195,Green,DkGray,Brown1,Original
196,Yellow,Black,Original,Brown3
197,Blue,Original,Brown1,Brown2
198,Original,White,Brown3,Brown3
199,BlackGray,Black,DkGray,Black
200,Yellow,White,Brown1,Brown2
201,Yellow,White,Brown3,Brown1
202,BlackGray,Original,Brown1,Original
203,Blue,Red,Original,Original
204,BlackGray,DkGray,Original,Brown2
205,BlackGray,DkGray,Brown1,Brown1
206,Original,Red,Brown2,Brown2
207,Blue,White,DkGray,Brown1
208,Yellow,White,Brown1,Brown1
209,Blue,Red,Original,Black Emoji3
210,Blue,Black,Brown3,Brown1
211,Blue,Red,Brown3,Black
212,Yellow,Black,White,Brown2
213,Yellow,Original,DkGray,Original
214,Original,DkGray,Brown3,Black
215,Blue,Original,Original,Brown2
216,BlackGray,White,Brown1,Brown2
217,BlackGray,Original,White,Brown3
218,Blue,DkGray,Original,Black Emoji3
219,Blue,Black,DkGray,Brown2
220,Yellow,White,Brown2,Brown3
221,Original,White,Brown1,Brown1
222,BlackGray,Red,Brown3,Brown1
223,Yellow,Original,Original,Brown1
224,Original,Black,White,Original
225,Original,Original,Brown1,Black
226,Green,Red,White,Black
227,Original,Original,Brown2,Original
228,Original,White,Brown3,Black
229,Green,DkGray,Brown3,Black Emoji3
230,Blue,Red,White,Black Emoji3
231,Yellow,Red,White,Brown1
232,Blue,Original,Original,Black Emoji3
233,BlackGray,Black,White,Black Emoji3
234,Yellow,DkGray,DkGray,Original
235,Blue,Original,DkGray,Black Emoji1
236,Yellow,White,Brown3,Black Emoji3
237,Blue,Black,Brown3,Brown2
238,Original,DkGray,Brown1,Black
239,Green,Black,Brown2,Original
240,Blue,Black,White,Brown2
241,Yellow,White,Original,Original
242,Blue,Black,DkGray,Brown3
243,BlackGray,White,Brown1,Original
244,Original,White,Original,Black Emoji3
245,Yellow,Red,DkGray,Original
246,Blue,Black,White,Brown3
247,Blue,White,Brown1,Brown1
248,Green,Black,White,Brown1
249,Original,DkGray,DkGray,Original
250,Original,Red,White,Original
251,Green,Black,Original,Black
252,Blue,Red,White,Brown1
253,Green,Red,DkGray,Black Emoji2
254,Original,Black,Original,Brown1
